Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,TotalGoals,prob_H_norm,prob_D_norm,prob_A_norm
2020-10-18,2020-21,Huesca,Valladolid,2,2,D,12,5,7,3,3,1,1,2,0,0,2.25,2.9,3.8,4,0.42230312320367885,0.3276489748994061,0.2500479018969151
2020-10-18,2020-21,Betis,Sociedad,0,3,A,7,8,1,5,6,2,2,1,0,0,2.5,3.25,2.9,3,0.3800403225806452,0.2923387096774194,0.3276209677419355
2020-10-23,2020-21,Elche,Valencia,2,1,H,3,14,2,4,0,7,3,2,0,0,3.2,3.1,2.4,3,0.2971246006389776,0.30670926517571884,0.39616613418530355
2020-10-24,2020-21,Sevilla,Eibar,0,1,A,21,3,3,1,13,3,0,3,0,0,1.45,4.33,7.5,1,0.6543619089837492,0.21912812194605918,0.12650996907019152
2020-10-24,2020-21,Ath Madrid,Betis,2,0,H,13,12,6,3,8,5,2,0,0,1,1.55,3.8,6.5,2,0.6074019427025696,0.24775605557604816,0.144842001721382
2020-10-24,2020-21,Barcelona,Real Madrid,1,3,A,10,15,4,9,7,7,3,2,0,0,2.0,3.6,3.6,4,0.47368421052631576,0.2631578947368421,0.2631578947368421
2020-10-24,2020-21,Osasuna,Ath Bilbao,1,0,H,7,13,2,5,2,5,3,2,0,0,3.25,2.9,2.4,1,0.28778168286127764,0.3225139549307422,0.3897043622079801
2020-10-25,2020-21,Valladolid,Alaves,0,2,A,5,14,1,4,2,4,1,0,1,0,2.3,2.9,3.5,2,0.40812223562525135,0.3236831523924407,0.268194611982308
2020-10-25,2020-21,Cadiz,Villarreal,0,0,D,5,7,0,2,0,5,2,2,0,0,3.6,3.3,2.1,0,0.26279863481228666,0.28668941979522183,0.4505119453924914
2020-10-25,2020-21,Getafe,Granada,0,1,A,10,5,1,2,6,1,4,2,0,0,1.85,3.1,5.0,1,0.5084467771034935,0.3034279153682139,0.18812530752829262
2020-10-25,2020-21,Sociedad,Huesca,4,1,H,13,6,6,4,4,5,2,1,0,0,1.57,3.75,6.0,5,0.595120015869867,0.249156913310851,0.15572307081928186
2020-10-26,2020-21,Levante,Celta,1,1,D,10,10,3,3,3,2,2,2,0,0,2.37,3.25,3.0,2,0.3969465648854962,0.2894656488549619,0.313587786259542
2020-10-30,2020-21,Eibar,Cadiz,0,2,A,9,6,3,4,7,2,1,1,0,0,2.55,2.75,3.3,2,0.3703703703703704,0.3434343434343434,0.2861952861952862
2020-10-31,2020-21,Real Madrid,Huesca,4,1,H,13,9,6,2,6,3,0,2,0,0,1.33,5.25,9.0,5,0.7137192704203014,0.18080888183980967,0.10547184773988898
2020-10-31,2020-21,Ath Bilbao,Sevilla,2,1,H,16,7,5,3,6,1,5,5,0,0,3.0,3.0,2.6,3,0.3170731707317074,0.3170731707317074,0.3658536585365854
2020-10-31,2020-21,Osasuna,Ath Madrid,1,3,A,8,11,3,6,3,2,1,2,0,0,5.5,3.3,1.75,4,0.1721311475409836,0.28688524590163933,0.540983606557377
2020-10-31,2020-21,Alaves,Barcelona,1,1,D,4,25,3,9,2,14,4,3,1,0,6.5,4.75,1.44,2,0.14530005310674457,0.19883165161975572,0.6558682952734998
2020-11-01,2020-21,Celta,Sociedad,1,4,A,9,9,2,7,2,3,2,5,1,0,3.0,3.2,2.45,5,0.3162565550625252,0.2964905203711174,0.3872529245663574
2020-11-01,2020-21,Valencia,Getafe,2,2,D,11,16,5,5,0,3,8,5,1,1,3.1,3.1,2.45,4,0.30625,0.30625,0.3875
2020-11-01,2020-21,Betis,Elche,3,1,H,17,4,10,2,1,1,2,1,0,0,1.45,4.33,7.5,4,0.6543619089837492,0.21912812194605918,0.12650996907019152
2020-11-01,2020-21,Granada,Levante,1,1,D,5,19,2,4,2,8,2,3,1,0,2.25,3.2,3.4,2,0.42285270112708895,0.29731830547998445,0.27982899339292655
2020-11-02,2020-21,Villarreal,Valladolid,2,0,H,11,11,5,1,6,4,1,3,0,0,1.61,4.0,5.5,2,0.5898914063547392,0.23743129105778257,0.17267730258747824
2020-11-06,2020-21,Elche,Celta,1,1,D,8,14,1,6,3,3,3,4,0,0,4.0,3.3,1.95,2,0.23455440131219243,0.2843083652268999,0.4811372334609076
